REP,DOC,PLAN_CALLS
AIJA-H30A51,AEGA-579NCF,1
AIJA-H30A51,AEGA-57ASMA,1
AIJA-H30A51,AEGA-57CY67,1
AIJA-201VQD,AEGA-5798EL,2
AEGA-8OM3JB,AEGA-57BZ11,6
AEGA-8OKA3V,AEGA-57E8QM,3
AIJA-GO6K8T,AEGA-57E294,1
AIJA-201VQD,AEGA-573WVU,4
AEGA-56WEHN,AEGA-57CJ1S,2
AIJA-NGZHCO,AEGA-57AJN6,3
AIJA-GO6K8T,AEGA-57AVTK,1
AIJA-H30A51,AIJA-FS71P,2
AIJA-201VQD,AEGA-57422M,3
AIJA-GO6K8T,AIJA-199EWP,3
AIJA-201VQD,AEGA-574I7R,4
AIJA-GO6K8T,AEGA-579UG5,6
AIJA-NGZHCO,AEGA-6EH19C,3
AIJA-NGZHDP,AEGA-579ZZ6,2
AEGA-56WEHN,AEGA-57AOTY,3
AEGA-56WEHD,AEGA-5793C1,5
AIJA-201VQD,AEGA-57AVRM,6
AEGA-8OM3JB,AEGA-57EBEJ,3
AEGA-56WEHD,AEGA-579MCO,2
AEGA-8OKA3V,AEGA-57DWE6,3
AEGA-8OKA3V,AIJA-NA93U,3
AIJA-GO6K8T,AEGA-5EFDH3,3
AIJA-NGZH79,AEGA-57C6GY,6
AIJA-GLRI1,AIJA-1R5K58,3
AIJA-H30A51,AEGA-57AAHV,1
AEGA-6N7PT5,AEGA-57C02T,12
AEGA-8OKA3V,AEGA-5793CQ,5
AEGA-8OKA3V,AEGA-7I76F8,2
AEGA-6N7PT5,AEGA-7TO03L,6
AIJA-H30A51,AEGA-57COMT,3
AIJA-201VQD,AEGA-57BNJL,3
AEGA-6N7PT5,AEGA-76QUR7,6
AIJA-H30A51,AEGA-579LO6,2
AIJA-GLRI1,AEGA-57E86U,3
AIJA-GLRI1,AEGA-57EC8S,3
AEGA-8OM3JB,AEGA-57E0UQ,9
AIJA-201VQD,AEGA-57A0GW,2
AEGA-56WEHD,AEGA-57ALF6,2
AEGA-8OKA3V,AEGA-57A05H,5
AEGA-8OM3JB,AEGA-57CK3G,6
AIJA-NHMIIH,AEGA-579US1,2
AEGA-8OM3JB,AEGA-579VBY,12
AEGA-56WEHN,AEGA-57DWC8,3
AEGA-8OKA3V,AEGA-579VXB,1
AIJA-H30A51,AEGA-57A6C5,3
AEGA-56WEHN,AEGA-57C3AB,6
AIJA-H30A51,AEGA-57CW7D,1
AEGA-6N7PT5,AEGA-579Y6K,6
AIJA-NGZHDP,AEGA-6EGVJ6,2
AIJA-NGZHDP,AEGA-579VJG,4
AIJA-GLRI1,AEGA-57D2FW,3
AIJA-NGZH79,AEGA-5799CR,2
AIJA-H30A51,AEGA-5793I5,2
AEGA-8OM3JB,AEGA-57A5W1,9
AIJA-GO6K8T,AEGA-579P5Y,3
AIJA-GO6K8T,AEGA-579SJZ,9
AIJA-NGZHDP,AEGA-57ABZX,1
AEGA-8OKA3V,AEGA-57DYF4,3
AIJA-GO6K8T,AEGA-57DWEB,1
AEGA-8OKA3V,AEGA-57E21R,1
AEGA-8OKA3V,AEGA-579MCO,3
AIJA-NGZHCO,AEGA-5799AY,3
AEGA-8OKA3V,AEGA-57DV4K,5
AEGA-56WEHD,AEGA-579JYS,2
AIJA-GO6K8T,AIJA-SK8LK,3
AIJA-GO6K8T,AEGA-579N7R,3
AEGA-8OM3JB,AEGA-579BQV,3
AIJA-201VQD,AEGA-57E39O,3
AIJA-NGZHDP,AEGA-57EC92,3
AIJA-H30A51,AEGA-579YJ2,1
AIJA-201VQD,AEGA-573DVO,5
AIJA-201VQD,AIJA-PHPYT,2
AIJA-H30A51,AEGA-57986E,1
AEGA-6N7PT5,AIJA-EQX1R,6
AEGA-8OM3JB,AEGA-57AC4R,3
AEGA-8OM3JB,AEGA-6D7HRK,6
AIJA-H30A51,AEGA-57D7EM,2
AIJA-NGZHCO,AIJA-1BMSYY,1
AIJA-H30A51,AIJA-2ESUKQ,2
AIJA-NGZHDP,AEGA-57CJ1S,2
AIJA-201VQD,AEGA-57CW0O,9
AIJA-NGZHDP,AEGA-57E0IS,2
AEGA-56WEHN,AEGA-57A3XZ,2
AIJA-NGZH79,AEGA-57944V,12
AIJA-NGZHCO,AEGA-57966W,4
AEGA-8OKA3V,AEGA-5791XV,8
AIJA-H30A51,AEGA-5793DA,2
AEGA-8OM3JB,AEGA-57E9OY,9
AEGA-8OKA3V,AEGA-579YH9,2
AIJA-201VQD,AEGA-573WVZ,4
AIJA-GO6K8T,AEGA-57CAWF,9
AIJA-H30A51,AEGA-57E5CK,1
AEGA-8OKA3V,AEGA-579U4F,3
AEGA-56WEHN,AEGA-57CDIZ,2
AIJA-201VQD,AEGA-57479Y,5
AEGA-56WEHN,AEGA-579EZ7,9
AIJA-GO6K8T,AEGA-57D2B4,3
AIJA-NGZHCO,AEGA-5799D5,2
AEGA-8OKA3V,AEGA-57BXZV,8
AIJA-NGZHDP,AEGA-57E1LQ,2
AEGA-8OKA3V,AEGA-57933X,3
AIJA-201VQD,AEGA-575Y7A,3
AIJA-201VQD,AEGA-57E63U,3
AEGA-56WEHN,AEGA-579WZL,2
AIJA-201VQD,AEGA-573HSD,5
AIJA-H30A51,AEGA-5793UP,3
AIJA-GO6K8T,AIJA-BGQXYR,1
AEGA-6N7PT5,AIJA-5XVZHS,3
AIJA-H30A51,AEGA-579390,2
AIJA-GLRI1,AEGA-57CYIB,3
AEGA-8OM3JB,AEGA-57A5W6,3
AIJA-201VQD,AEGA-573YLB,4
AIJA-GO6K8T,AEGA-579UGQ,3
AEGA-56WEHN,AEGA-57966R,3
AIJA-H30A51,AEGA-57DYIR,2
AEGA-56WEHD,AEGA-57AH6U,3
AEGA-8OKA3V,AEGA-57E7TF,4
AIJA-H30A51,AEGA-57COTA,2
AIJA-201VQD,AEGA-5EWQNM,6
AEGA-56WEHN,AEGA-579X07,2
AIJA-GO6K8T,AEGA-57CM08,3
AEGA-8OKA3V,AEGA-57E4P8,1
AIJA-H30A51,AEGA-5799AY,3
AEGA-56WEHN,AEGA-579XF9,9
AIJA-GO6K8T,AEGA-57DVE9,3
AIJA-201VQD,AEGA-573S4A,2
AIJA-GO6K8T,AEGA-57C0MP,6
AIJA-201VQD,AIJA-JZO45P,2
AIJA-201VQD,AEGA-574L98,2
AIJA-NGZH79,AEGA-57AEE1,6
