REP,DOC,PLAN_CALLS
AEGA-56WEHN,AEGA-57A6C1,2
AEGA-8OM3JB,AEGA-57D4CW,3
AEGA-6N7PT5,AIJA-1BMRRW,3
AEGA-8OM3JB,AEGA-57D3BF,9
AIJA-H30A51,AEGA-579Z5C,1
AIJA-GO6K8T,AIJA-GOPJD3,3
AIJA-GLRI1,AEGA-5793OT,3
AEGA-6N7PT5,AEGA-57921R,3
AIJA-201VQD,AEGA-579SP0,2
AEGA-6N7PT5,AIJA-ZXKPP,6
AEGA-56WEHN,AEGA-5791CS,6
AIJA-GO6K8T,AEGA-57AE7E,3
AIJA-GO6K8T,AIJA-7LO3TD,1
AIJA-GLRI1,AIJA-IY2FO4,3
AIJA-NGZHCO,AEGA-579WZL,2
AEGA-8OKA3V,AEGA-57AC2Q,2
AIJA-201VQD,AEGA-579UW0,2
AIJA-201VQD,AEGA-57CVVC,1
AEGA-8OKA3V,AEGA-579ZVB,3
AIJA-201VQD,AIJA-LVU4Z,1
AIJA-NGZHCO,AEGA-57A6C5,3
AIJA-NGZHDP,AEGA-57A6C1,2
AIJA-H30A51,AIJA-3HWJAZ,2
AIJA-201VQD,AEGA-574JDQ,2
AIJA-H30A51,AEGA-88D5TE,1
AIJA-NGZH79,AEGA-57C4QU,3
AEGA-8OKA3V,AEGA-57AP89,5
AEGA-8OM3JB,AEGA-579UQ2,12
AIJA-GLRI1,AEGA-57DXWY,3
AEGA-56WEHD,AEGA-5793CL,5
AEGA-56WEHD,AEGA-57922B,3
AIJA-201VQD,AEGA-57DY7W,3
AEGA-56WEHN,AEGA-579S8C,1
AIJA-GO6K8T,AEGA-5JH8A5,9
AEGA-8OM3JB,AEGA-57AT51,12
AIJA-H30A51,AEGA-57CKN3,3
AIJA-201VQD,AEGA-57CVRL,2
AIJA-201VQD,AEGA-7UI587,6
AIJA-H30A51,AEGA-57938C,2
AIJA-GO6K8T,AIJA-4FUVZG,1
AEGA-56WEHN,AEGA-579IQ8,6
AEGA-6N7PT5,AEGA-57CRSH,6
AIJA-GO6K8T,AIJA-MTZ69,6
AIJA-201VQD,AEGA-57A9CJ,4
AIJA-201VQD,AEGA-579R9Y,3
AIJA-201VQD,AEGA-573RLN,3
AEGA-56WEHD,AEGA-57ALYL,10
AIJA-NGZHCO,AEGA-57AH5W,3
AEGA-6N7PT5,AEGA-5EUMPB,6
AEGA-8OKA3V,AEGA-7K6LC1,3
AIJA-H30A51,AEGA-81N5UC,3
AIJA-H30A51,AEGA-57939A,2
AIJA-H30A51,AIJA-KQYSCU,1
AEGA-8OM3JB,AEGA-57E3J1,3
AEGA-56WEHD,AEGA-579JT1,1
AEGA-8OM3JB,AEGA-57D4GC,3
AEGA-8OM3JB,AEGA-57BQ9S,9
AIJA-NGZHCO,AEGA-579Z81,2
AEGA-6N7PT5,AEGA-57CTR0,9
AEGA-56WEHN,AEGA-579OS4,2
AEGA-6N7PT5,AEGA-57DZZ9,6
AIJA-201VQD,AIJA-3IEZUL,2
AIJA-NGZHDP,AEGA-579SPZ,2
AEGA-8OKA3V,AEGA-57A5NJ,3
AIJA-201VQD,AEGA-57BXTR,1
AEGA-56WEHN,AEGA-579B94,9
AIJA-H30A51,AEGA-6EH19C,3
AIJA-H30A51,AIJA-FS8M4,4
AIJA-GO6K8T,AEGA-57D4A4,3
AEGA-8OM3JB,AEGA-57BUSZ,6
AEGA-8OKA3V,AEGA-579QR1,5
AIJA-201VQD,AEGA-5ETWJC,2
AIJA-201VQD,AEGA-576JQV,4
AEGA-8OKA3V,AEGA-57DWE1,3
